q1_experience	q2_country	q2_region	q3_ecosystem	q4_field	q5_organisms	q6_functions	q7_trait	q8_body_size	q9_enzymatic	q10_chla	q11_growth_form	q12_nutrient_uptake	q13_om_decomp	q14_none	q14_biological	q14_effect_response	q14_hard_soft
professor	serbia	Europe	wetlands	community eco	riparian veg.	multifunctionality	ecosystem function	biological trait	functional trait	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	spain	Europe	rivers	community eco	riparian veg.	none	functional trait	functional trait	dont know	dont know	functional trait	dont know	ecosystem function	none	no	no	no
senior researcher	netherlands	Europe	rivers	ecohydrology	macrophytes	multifunctionality	biological trait	biological trait	dont know	biological trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	israel	Asia	rivers	ecohydrology	riparian veg.	multifunctionality	ecosystem function	structural measure	biological trait	biological trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	finland	Europe	lakes reservoirs	other	none	multifunctionality	none	dont know	dont know	functional trait	dont know	functional trait	ecosystem function	none	no	no	no
senior researcher	norway	Europe	rivers	community eco	multiple	none	functional trait	structural measure	structural measure	structural measure	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	germany	Europe	ponds	community eco	invertebrates	trophic	biological trait	biological trait	ecosystem function	structural measure	biological trait	functional trait	functional trait	any	biological_ecological_traits	no	no
professor	turkey	Asia	other	community eco	riparian veg.	none	functional trait	dont know	dont know	biological trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	norway	Europe	rivers	ecohydrology	riparian veg.	multifunctionality	functional trait	biological trait	dont know	biological trait	functional trait	dont know	ecosystem function	any	biological_ecological_traits	no	no
professor	australia	Oceania	lakes reservoirs	biogeochem	multiple	multifunctionality	functional trait	dont know	biological trait	biological trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	germany	Europe	rivers	community eco	multiple	none	biological trait	biological trait	functional trait	structural measure	biological trait	functional trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
senior researcher	portugal	Europe	rivers	community eco	vertebrates	multifunctionality	functional trait	biological trait	ecosystem function	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
professor	portugal	Europe	rivers	functional eco	multiple	multifunctionality	functional trait	structural measure	biological trait	ecosystem function	biological trait	ecosystem function	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
ECR-postdoc	portugal	Europe	rivers	functional eco	vertebrates	multifunctionality	biological trait	structural measure	ecosystem function	structural measure	structural measure	structural measure	functional trait	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
senior researcher	portugal	Europe	rivers	community eco	vertebrates	trophic	biological trait	biological trait	ecosystem function	functional trait	biological trait	functional trait	functional trait	any	biological_ecological_traits	no	no
professor	italy	Europe	lakes reservoirs	community eco	microbes	multifunctionality	biological trait	biological trait	functional trait	biological trait	functional trait	biological trait	functional trait	any	biological_ecological_traits	no	no
senior researcher	portugal	Europe	rivers	community eco	vertebrates	none	biological trait	structural measure	dont know	structural measure	biological trait	dont know	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	portugal	Europe	rivers	community eco	vertebrates	none	none	biological trait	ecosystem function	structural measure	ecosystem function	functional trait	functional trait	any	biological_ecological_traits	no	no
ECR-postdoc	spain	Europe	lakes reservoirs	other	microbes	nutrients cycle	ecosystem function	dont know	dont know	dont know	dont know	ecosystem function	dont know	any	no	effect_response_traits	no
professor	morocco	Africa	rivers	community eco	invertebrates	none	biological trait	biological trait	dont know	ecosystem function	ecosystem function	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
professor	morocco	Africa	rivers	community eco	invertebrates	multifunctionality	biological trait	biological trait	biological trait	ecosystem function	ecosystem function	biological trait	ecosystem function	none	no	no	no
professor	morocco	Africa	rivers	community eco	invertebrates	none	biological trait	biological trait	biological trait	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	morocco	Africa	wetlands	community eco	invertebrates	none	none	dont know	dont know	structural measure	dont know	structural measure	structural measure	none	no	no	no
professor	morocco	Africa	rivers	community eco	invertebrates	multifunctionality	ecosystem function	biological trait	functional trait	functional trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	morocco	Africa	ponds	community eco	vertebrates	none	functional trait	functional trait	dont know	dont know	dont know	dont know	dont know	any	no	effect_response_traits	no
professor	morocco	Africa	wetlands	community eco	none	trophic	ecosystem function	ecosystem function	dont know	dont know	ecosystem function	dont know	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	slovakia	Europe	rivers	other	riparian veg.	none	functional trait	structural measure	dont know	functional trait	functional trait	biological trait	biological trait	any	no	effect_response_traits	no
professor	usa	America	rivers	ecohydrology	none	none	none	dont know	dont know	dont know	dont know	dont know	dont know	none	no	no	no
senior researcher	germany	Europe	rivers	community eco	none	multifunctionality	functional trait	biological trait	ecosystem function	biological trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	uk	Europe	rivers	biogeochem	none	nutrients cycle	none	functional trait	functional trait	biological trait	dont know	functional trait	functional trait	any	biological_ecological_traits	no	no
predoctoral	uk	Europe	rivers	community eco	multiple	none	functional trait	functional trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	no	effect_response_traits	no
ECR-postdoc	usa	America	rivers	other	macrophytes	none	functional trait	structural measure	biological trait	structural measure	structural measure	structural measure	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	usa	America	other	functional eco	invertebrates	nutrients cycle	functional trait	functional trait	dont know	functional trait	functional trait	ecosystem function	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
predoctoral	uk	Europe	other	community eco	invertebrates	none	functional trait	biological trait	ecosystem function	structural measure	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	usa	America	rivers	community eco	invertebrates	none	functional trait	functional trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
ECR-postdoc	italy	Europe	rivers	community eco	invertebrates	OM decomposition	biological trait	biological trait	ecosystem function	biological trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	usa	America	rivers	functional eco	invertebrates	trophic	functional trait	biological trait	functional trait	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	usa	America	rivers	biogeochem	none	trophic	biological trait	biological trait	ecosystem function	biological trait	biological trait	biological trait	ecosystem function	none	no	no	no
senior researcher	usa	America	rivers	community eco	invertebrates	OM decomposition	biological trait	biological trait	ecosystem function	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	uk	Europe	lakes reservoirs	biogeochem	microbes	none	functional trait	structural measure	dont know	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	usa	America	rivers	community eco	invertebrates	multifunctionality	functional trait	biological trait	dont know	biological trait	functional trait	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	uk	Europe	rivers	community eco	invertebrates	none	none	dont know	dont know	dont know	dont know	dont know	dont know	none	no	no	no
professor	usa	America	rivers	community eco	invertebrates	multifunctionality	biological trait	biological trait	ecosystem function	biological trait	biological trait	biological trait	ecosystem function	none	no	no	no
professor	usa	America	rivers	ecohydrology	multiple	none	biological trait	biological trait	ecosystem function	biological trait	biological trait	functional trait	dont know	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
senior researcher	uk	Europe	rivers	ecohydrology	invertebrates	multifunctionality	ecosystem function	biological trait	ecosystem function	dont know	biological trait	dont know	dont know	any	biological_ecological_traits	no	no
ECR-postdoc	uk	Europe	rivers	community eco	invertebrates	multifunctionality	functional trait	biological trait	functional trait	dont know	functional trait	functional trait	dont know	any	biological_ecological_traits	effect_response_traits	no
senior researcher	uk	Europe	rivers	functional eco	invertebrates	multifunctionality	functional trait	ecosystem function	biological trait	ecosystem function	functional trait	ecosystem function	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	netherlands	Europe	rivers	biogeochem	invertebrates	multifunctionality	biological trait	biological trait	ecosystem function	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	uk	Europe	rivers	community eco	microbes	nutrients cycle	functional trait	biological trait	functional trait	ecosystem function	ecosystem function	functional trait	functional trait	any	biological_ecological_traits	no	no
senior researcher	australia	Oceania	rivers	community eco	invertebrates	multifunctionality	functional trait	biological trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	usa	America	rivers	community eco	invertebrates	multifunctionality	biological trait	biological trait	functional trait	ecosystem function	structural measure	ecosystem function	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	usa	America	ponds	community eco	multiple	multifunctionality	biological trait	biological trait	ecosystem function	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	canada	America	rivers	other	none	none	biological trait	biological trait	dont know	structural measure	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	usa	America	lakes reservoirs	community eco	vertebrates	trophic	none	biological trait	biological trait	functional trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	australia	Oceania	wetlands	functional eco	multiple	multifunctionality	functional trait	biological trait	ecosystem function	biological trait	biological trait	functional trait	functional trait	any	no	effect_response_traits	no
senior researcher	australia	Oceania	rivers	ecohydrology	none	multifunctionality	none	structural measure	functional trait	biological trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	australia	Oceania	rivers	community eco	invertebrates	trophic	ecosystem function	biological trait	ecosystem function	functional trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	australia	Oceania	rivers	community eco	invertebrates	none	none	biological trait	dont know	dont know	biological trait	biological trait	dont know	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	australia	Oceania	rivers	functional eco	multiple	OM decomposition	functional trait	functional trait	ecosystem function	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	germany	Europe	rivers	functional eco	invertebrates	none	functional trait	biological trait	functional trait	dont know	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	australia	Oceania	rivers	biogeochem	microbes	multifunctionality	biological trait	structural measure	functional trait	structural measure	structural measure	structural measure	functional trait	any	biological_ecological_traits	effect_response_traits	no
predoctoral	australia	Oceania	wetlands	community eco	riparian veg.	none	functional trait	biological trait	ecosystem function	functional trait	structural measure	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	australia	Oceania	rivers	community eco	invertebrates	OM decomposition	biological trait	biological trait	dont know	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	australia	Oceania	wetlands	community eco	invertebrates	none	ecosystem function	ecosystem function	ecosystem function	dont know	dont know	dont know	ecosystem function	none	no	no	no
professor	australia	Oceania	rivers	community eco	vertebrates	none	none	biological trait	dont know	ecosystem function	biological trait	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	australia	Oceania	rivers	community eco	invertebrates	none	biological trait	biological trait	ecosystem function	dont know	structural measure	dont know	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	australia	Oceania	rivers	biogeochem	multiple	multifunctionality	biological trait	structural measure	dont know	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	australia	Oceania	rivers	biogeochem	multiple	multifunctionality	biological trait	structural measure	dont know	ecosystem function	biological trait	functional trait	functional trait	any	biological_ecological_traits	no	no
senior researcher	australia	Oceania	other	other	multiple	none	none	biological trait	functional trait	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	australia	Oceania	rivers	community eco	invertebrates	none	biological trait	biological trait	functional trait	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	australia	Oceania	rivers	community eco	multiple	none	biological trait	biological trait	ecosystem function	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	australia	Oceania	wetlands	functional eco	macrophytes	multifunctionality	none	structural measure	ecosystem function	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	australia	Oceania	lakes reservoirs	biogeochem	none	multifunctionality	functional trait	biological trait	functional trait	structural measure	biological trait	biological trait	ecosystem function	none	no	no	no
professor	australia	Oceania	other	other	invertebrates	multifunctionality	none	biological trait	ecosystem function	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	australia	Oceania	lakes reservoirs	biogeochem	multiple	trophic	ecosystem function	biological trait	functional trait	biological trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	australia	Oceania	rivers	biogeochem	riparian veg.	multifunctionality	functional trait	dont know	ecosystem function	structural measure	structural measure	structural measure	ecosystem function	any	biological_ecological_traits	no	no
professor	australia	Oceania	rivers	ecohydrology	none	multifunctionality	none	structural measure	ecosystem function	ecosystem function	biological trait	ecosystem function	functional trait	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
senior researcher	australia	Oceania	rivers	ecohydrology	multiple	none	biological trait	biological trait	ecosystem function	functional trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	australia	Oceania	rivers	community eco	multiple	multifunctionality	biological trait	biological trait	ecosystem function	functional trait	ecosystem function	functional trait	functional trait	any	biological_ecological_traits	no	no
predoctoral	colombia	America	rivers	community eco	invertebrates	trophic	functional trait	functional trait	functional trait	functional trait	biological trait	functional trait	functional trait	any	biological_ecological_traits	no	no
professor	australia	Oceania	rivers	ecohydrology	invertebrates	OM decomposition	none	dont know	ecosystem function	biological trait	dont know	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	australia	Oceania	rivers	community eco	invertebrates	none	functional trait	dont know	functional trait	dont know	ecosystem function	biological trait	functional trait	none	no	no	no
professor	germany	Europe	rivers	community eco	none	none	functional trait	structural measure	functional trait	structural measure	functional trait	ecosystem function	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	australia	Oceania	rivers	biogeochem	none	metabolism	functional trait	functional trait	ecosystem function	structural measure	functional trait	ecosystem function	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	poland	Europe	rivers	community eco	riparian veg.	none	functional trait	structural measure	dont know	biological trait	functional trait	biological trait	dont know	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
senior researcher	austria	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	functional trait	dont know	biological trait	functional trait	functional trait	any	biological_ecological_traits	no	no
senior researcher	austria	Europe	rivers	community eco	none	none	biological trait	biological trait	dont know	dont know	dont know	dont know	dont know	any	biological_ecological_traits	no	no
predoctoral	argentina	America	rivers	community eco	invertebrates	none	biological trait	biological trait	biological trait	dont know	dont know	biological trait	functional trait	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
professor	spain	Europe	lakes reservoirs	biogeochem	multiple	multifunctionality	biological trait	biological trait	ecosystem function	functional trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	uk	Europe	other	community eco	invertebrates	multifunctionality	functional trait	structural measure	structural measure	structural measure	functional trait	functional trait	functional trait	any	biological_ecological_traits	no	no
senior researcher	uk	Europe	rivers	biogeochem	invertebrates	none	functional trait	biological trait	ecosystem function	biological trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
